餐廳,地址,價格,google 評價,評論數量,標籤,位置
Qm159 清琳咖啡,新北市三峽區中山路65號,$200-400,4.5,"1,053",甜點,後門/老街
Qm159 清琳咖啡,新北市三峽區中山路65號,$200-400,4.5,"1,053",咖啡廳,後門/老街
鐵盒子甜點專門店,新北市三峽區學成路293號,$1-200,4.5,123,甜點,正門
鐵盒子甜點專門店,新北市三峽區學成路293號,$1-200,4.5,123,咖啡廳,正門
ELSA CAFE,新北市三峽區國際一街72號,$1-200,4.7,157,甜點,側門
ELSA CAFE,新北市三峽區國際一街72號,$1-200,4.7,157,咖啡廳,側門
LAIFA Coffee Shot 來發咖啡峽,新北市三峽區國光街73號,$200-400,4.8,304,甜點,後門
LAIFA Coffee Shot 來發咖啡峽,新北市三峽區國光街73號,$200-400,4.8,304,咖啡廳,後門
三峽Team Coffee 咖啡。停！,新北市三峽區仁愛街2號,$200-400,4.7,483,甜點,後門/老街
三峽Team Coffee 咖啡。停！,新北市三峽區仁愛街2號,$200-400,4.7,483,咖啡廳,後門/老街
木本家MUhouse ,新北市樹林區學勤路428號,$200-400,4.7,153,甜點,正門
木本家MUhouse ,新北市樹林區學勤路428號,$200-400,4.7,153,咖啡廳,正門
樸樹咖啡,新北市樹林區學勤路529號2樓,$200-400,5,663,甜點,正門
樸樹咖啡,新北市樹林區學勤路529號2樓,$200-400,5,663,咖啡廳,正門
DOHA人寵甜點咖啡廳,新北市三峽區學勤路178-2號1樓,$200-400,5,63,甜點,正門
DOHA人寵甜點咖啡廳,新北市三峽區學勤路178-2號1樓,$200-400,5,63,咖啡廳,正門
凱莉日嚐,新北市三峽區學成路285號,$1-200,4.5,266,甜點,正門
凱莉日嚐,新北市三峽區學成路285號,$1-200,4.5,266,咖啡廳,正門
一小步 One Step Café,新北市三峽區國光街175號,$1-200,4.8,79,甜點,後門/老街
一小步 One Step Café,新北市三峽區國光街175號,$1-200,4.8,79,咖啡廳,後門/老街
鯨旋咖啡,新北市三峽區大義路227號國泰世華銀行對面,$1-200,4.6,34,甜點,正門
鯨旋咖啡,新北市三峽區大義路227號國泰世華銀行對面,$1-200,4.6,34,咖啡廳,正門
大雄料理店,新北市三峽區國學街51號,$1-200,3.8,489,日式,側門
大雄料理店,新北市三峽區國學街51號,$1-200,3.8,489,飯食,側門
暮漁町生魚片海鮮丼專賣店,新北市三峽區大義路199-1號,$200-400,4.7,307,日式,正門
暮漁町生魚片海鮮丼專賣店,新北市三峽區大義路199-1號,$200-400,4.7,307,飯食,正門
根,新北市三峽區大觀路1號,$200-400,4.3,319,日式,正門
Mr. 壽司,新北市樹林區學勤路398號,$400-600,4.3,855,日式,正門
Mr. 壽司,新北市樹林區學勤路398號,$400-600,4.3,855,飯食,正門
鯓．魚片,新北市三峽區大德路85號,$200-400,4.9,226,日式,正門
鯓．魚片,新北市三峽區大德路85號,$200-400,4.9,226,飯食,正門
新美園食堂,新北市樹林區大雅路304號,$400-600,3.8,305,日式,正門
新美園食堂,新北市樹林區大雅路304號,$400-600,3.8,305,麵食,正門
小眼睛歐爸們韓式炸雞&辣炒年糕,新北市三峽區大觀路12-3號,$200-400,4.5,"1,957",韓式,正門
小眼睛歐爸們韓式炸雞&辣炒年糕,新北市三峽區大觀路12-3號,$200-400,4.5,"1,957",飯食,正門
韓讚,新北市三峽區國際一街47號,$1-200,3.6,743,韓式,側門
韓讚,新北市三峽區國際一街47號,$1-200,3.6,743,飯食,側門
韓讚,新北市三峽區國際一街47號,$1-200,3.6,743,麵食,側門
阿啾西拉麵圖書館,新北市三峽區大觀路28號,$1-200,5,821,韓式,正門
阿啾西拉麵圖書館,新北市三峽區大觀路28號,$1-200,5,821,麵食,正門
老私房牛肉麵,新北市三峽區國際一街66-1號1樓,$200-400,4.7,"1,266",中式,側門
老私房牛肉麵,新北市三峽區國際一街66-1號1樓,$200-400,4.7,"1,266",麵食,側門
麵匡匡拉麵食堂,新北市三峽區和平街70號,$200-400,4.6,229,日式,後門
麵匡匡拉麵食堂,新北市三峽區和平街70號,$200-400,4.6,229,麵食,後門
小巷子清燉牛肉麵,新北市三峽區大觀路6號,$1-200,4.8,"2,091",中式,正門
小巷子清燉牛肉麵,新北市三峽區大觀路6號,$1-200,4.8,"2,091",麵食,正門
麵G,新北市三峽區國際一街31號,$1-200,4.8,35,中式,側門
麵G,新北市三峽區國際一街31號,$1-200,4.8,35,麵食,側門
隨園麵食館,新北市三峽區國際一街23-1號,$1-200,4.1,540,中式,側門
隨園麵食館,新北市三峽區國際一街23-1號,$1-200,4.1,540,麵食,側門
蘇記水餃,新北市三峽區和平街97號,$1-200,4.1,919,中式,後門
蘇記水餃,新北市三峽區和平街97號,$1-200,4.1,919,麵食,後門
鳥鳴子雞白湯ラーメン,新北市三峽區國際一街33號,$200-400,4.4,280,日式,側門
鳥鳴子雞白湯ラーメン,新北市三峽區國際一街33號,$200-400,4.4,280,麵食,側門
三禾手打烏龍麵,新北市三峽區大德路109號,$200-400,4,957,日式,正門
三禾手打烏龍麵,新北市三峽區大德路109號,$200-400,4,957,麵食,正門
樂廚房 牛肉麵,新北市三峽區大觀路116號,$1-200,4.3,242,中式,正門
樂廚房 牛肉麵,新北市三峽區大觀路116號,$1-200,4.3,242,麵食,正門
木子李,新北市三峽區中山路42號,$200-400,4.4,323,中式,後門
木子李,新北市三峽區中山路42號,$200-400,4.4,323,飯食,後門
木子李,新北市三峽區中山路42號,$200-400,4.4,323,麵食,後門
黑霸牛肉麵專賣店,新北市三峽區大觀路27號,$1-200,4.4,"1,027",中式,正門
黑霸牛肉麵專賣店,新北市三峽區大觀路27號,$1-200,4.4,"1,027",麵食,正門
就這味,新北市三峽區大觀路30號,$1-200,4.2,366,中式,正門
就這味,新北市三峽區大觀路30號,$1-200,4.2,366,麵食,正門
三峽北大湘泊苑,新北市三峽區國際一街43號,$1-200,3.9,232,中式,側門
三峽北大湘泊苑,新北市三峽區國際一街43號,$1-200,3.9,232,麵食,側門
三峽北大湘泊苑,新北市三峽區國際一街43號,$1-201,3.9,232,飯食,側門
私嚐の吃飯,新北市樹林區學勤路322號,$200-400,4.9,"1,762",日式,正門
私嚐の吃飯,新北市樹林區學勤路322號,$200-400,4.9,"1,762",飯食,正門
吉購吉,新北市三峽區大德路222號,$1-200,4.2,571,日式,正門
吉購吉,新北市三峽區大德路222號,$1-200,4.2,571,飯食,正門
向陽冬瓜肉飯,新北市樹林區學成路532號,$1-200,4.3,564,中式,正門
向陽冬瓜肉飯,新北市樹林區學成路532號,$1-200,4.3,564,飯食,正門
阿郎小吃,新北市三峽區國學街16號,$1-200,4.3,54,中式,側門
阿郎小吃,新北市三峽區國學街16號,$1-200,4.3,54,飯食,側門
坐一下吧,新北市三峽區國際一街80號1樓,$200-400,3.3,267,日式,側門
坐一下吧,新北市三峽區國際一街80號1樓,$200-400,3.3,269,飯食,側門
大億美食,新北市三峽區國學街57號,$1-200,3.4,72,中式,側門
大億美食,新北市三峽區國學街57號,$1-200,3.4,72,飯食,側門
元爵味 黃燜雞米飯,新北市三峽區國際一街8號,$200-400,4.8,"2,273",中式,正門
元爵味 黃燜雞米飯,新北市三峽區國際一街8號,$200-400,4.8,"2,273",飯食,正門
誠意鵝肉,新北市三峽區大觀路20號,$1-200,3.9,312,中式,正門
誠意鵝肉,新北市三峽區大觀路20號,$1-200,3.9,312,飯食,正門
一燔歐姆蛋咖哩、炸雞,新北市三峽區大德路151號,$1-200,4.5,406,日式,正門
一燔歐姆蛋咖哩、炸雞,新北市三峽區大德路151號,$1-200,4.5,406,飯食,正門
強尼兄弟健康廚房,新北市三峽區大觀路115號1樓,$1-200,4.3,857,中式,正門
強尼兄弟健康廚房,新北市三峽區大觀路115號1樓,$1-200,4.3,857,泰式,正門
強尼兄弟健康廚房,新北市三峽區大觀路115號1樓,$1-200,4.3,857,健康餐,正門
Miss Energy 能量小姐,新北市三峽區學成路246號,$1-200,4.4,497,中式,正門
Miss Energy 能量小姐,新北市三峽區學成路246號,$1-200,4.4,497,日式,正門
Miss Energy 能量小姐,新北市三峽區學成路246號,$1-200,4.4,497,韓式,正門
Miss Energy 能量小姐,新北市三峽區學成路246號,$1-200,4.4,497,健康餐,正門
蛋白盒子健康餐盒,新北市三峽區國學街37號,$1-200,3.7,50,中式,側門
