餐廳,地址,價格,google 評價,評論數量,標籤,位置
Qm159 清琳咖啡,237新北市三峽區中山路65號,$200-400,4.5,"1,049",甜點,後門
鐵盒子甜點專門店,237新北市三峽區學成路293號,$1-200,4.5,123,甜點,正門
ELSA CAFE,237新北市三峽區國際一街72號,$1-200,4.7,156,甜點,側門
LAIFA Coffee Shot,237新北市三峽區國光街73號,$200-400,4.6,304,甜點,後門
Team Coffee ,237新北市三峽區仁愛街2號,$200-400,4.7,481,甜點,後門
入日咖啡,237新北市三峽區永安街171號,$200-400,4.7,174,甜點,後門
木本家MUhouse ,238新北市樹林區學勤路428號,$200-400,4.7,151,甜點,正門
樸樹咖啡,238新北市樹林區學勤路529號2樓,$200-400,5,663,甜點,正門
DOHA人寵甜點咖啡廳,237新北市三峽區學勤路178-2號1 樓,$200-400,5,63,甜點,正門
凱莉日嚐,237新北市三峽區學成路285號,$1-200,4.5,266,甜點,正門
鯨旋咖啡,237新北市三峽區大義路227號,$1-200,4.6,34,甜點,正門
大雄料理店,237新北市三峽區國學街51號,$1-200,3.8,485,日料,側門
坐一下吧,237新北市三峽區國際一街80號1樓,$200-400,3.3,267,日料,側門
暮漁町生魚片海鮮丼專賣店,237新北市三峽區大義路199-1號,$200-400,4.7,303,日料,正門
根,237新北市三峽區大觀路1號,$200-400,4.2,326,日料,正門
Mr. 壽司,238新北市樹林區學勤路398號,$400-600,4.3,854,日料,正門
鯓．魚片,237新北市三峽區大德路85號,$200-400,4.9,214,日料,正門
新美園食堂,238新北市樹林區大雅路304號,$400-600,3.8,300,日料,正門
小眼睛歐爸們,237新北市三峽區大觀路12-3號,$200-400,4.5,"1,949",韓料,正門
波之家石鍋料理,237303新北市三峽區大學路151號,$1-200,4.6,19,韓料,正門
韓讚,237新北市三峽區國際一街47號,$1-200,3.6,743,韓料,側門
阿啾西拉麵圖書館,237新北市三峽區大觀路28號,$1-200,5,821,韓料,正門
阿啾西拉麵圖書館,237新北市三峽區大觀路28號,$1-200,5,821,麵食,正門
老私房牛肉麵,237新北市三峽區國際一街66-1號1樓,$200-400,4.7,"1,262",麵食,側門
麵匡匡拉麵食堂,237新北市三峽區和平街70號,$200-400,4.6,227,麵食,後門
小巷子清燉牛肉麵,237新北市三峽區大觀路6號,$1-200,4.8,"2,338",麵食,正門
麵G,237新北市三峽區國際一街31號,$1-200,4.8,35,麵食,側門
隨園麵食館,237新北市三峽區國際一街23-1號,$1-200,4.1,539,麵食,側門
白甘蔗飯麵館,237新北市三峽區國際一街45號,$1-200,4.4,278,麵食,側門
蘇記水餃,237新北市三峽區和平街97號,$1-200,4.1,919,麵食,後門
鳥鳴子雞白湯,237新北市三峽區國際一街33號,$200-400,4.4,278,麵食,側門
三禾手打烏龍麵,237新北市三峽區大德路109號,$200-400,4,956,麵食,正門
樂廚房 ,237新北市三峽區大觀路116號,$1-200,4.3,241,麵食,正門
木子李,237新北市三峽區中山路42號,$200-400,4.4,317,麵食,後門
黑霸牛肉麵專賣店,237新北市三峽區大觀路27號,$1-200,4.4,"1,026",麵食,正門
号鳥食趣,237新北市三峽區大觀路7號,$200-400,4.3,639,麵食,正門
河南砂鍋手工扯麵,237新北市三峽區光明路26號,$1-200,4.1,"3,334",麵食,後門
就這味,237新北市三峽區大觀路30號,$1-200,4.2,363,麵食,正門
Yummy亞咪義大利麵,237新北市三峽區大觀路109號,$200-400,4.1,485,麵食,正門
三峽北大湘泊苑,237新北市三峽區國際一街43號,$1-200,3.9,231,麵食,側門
三峽北大湘泊苑,237新北市三峽區國際一街43號,$1-201,3.9,231,飯食,側門
私嚐の吃飯,238新北市樹林區學勤路322號,$200-400,4.9,"1,763",飯食,正門
吉購吉,237新北市三峽區大德路222號,$1-200,4.2,566,飯食,正門
向陽冬瓜肉飯,238新北市樹林區學成路532號,$1-200,4.3,564,飯食,正門
阿郎小吃,237新北市三峽區國學街16號,$1-200,4.3,54,飯食,側門
坐一下吧,237新北市三峽區國際一街80號1樓,$200-400,3.3,267,飯食,側門
大億美食,237新北市三峽區國學街57號,$1-200,3.4,72,飯食,側門
元爵味 黃燜雞米飯,237新北市三峽區國際一街80號1樓	$200-400	3.3	267,$1-200,4.8,"2,273",飯食,側門
誠意鵝肉 ,237新北市三峽區大觀路20號,$1-200,3.9,311,飯食,正門
一燔歐姆蛋咖哩,237新北市三峽區大德路151號,$1-200,4.5,405,飯食,正門
強尼兄弟,237新北市三峽區大觀路115號1樓,$1-200,4.3,856,健身,正門
能量小姐,237新北市三峽區學成路246號,$1-200,4.4,496,健身,正門
蛋白盒子,237020新北市三峽區國學街37號,$1-200,3.7,49,健身,側門
京簡康,237新北市三峽區學成路250號,$1-200,3.7,172,健身,正門
益柔廚房,237新北市三峽區學府路36號,$200-400,4.4,842,健身,正門
蒙虎白湯小火鍋,237新北市三峽區國際二街21-3號,$1-200,4.9,470,火鍋,正門
聚,237新北市三峽區學成路398號3樓,$400-600,4.8,"10,914",火鍋,正門
泰鍋古藝 ,23741新北市三峽區國學街88號,$1-200,4.7,"1,401",火鍋,側門
八鍋小火鍋,237新北市三峽區國際一街10號1樓,$1-200,4.2,913,火鍋,側門
鍋媽精緻小火鍋,237新北市三峽區國際一街7號1樓,$1-200,4.4,"1,306",火鍋,側門
麗媽四季火鍋,237新北市三峽區國際二街25號,$1-200,3.8,449,火鍋,側門
六扇門,237新北市三峽區學成路3-1號號,$200-400,4.2,"1,383",火鍋,後門
錢都,237新北市三峽區大學路86-3號,$200-400,4.3,"2,902",火鍋,正門
加分,238新北市樹林區學成路536號2樓,$200-400,4.2,63,火鍋,正門
