id,name,location,category,priceRange,isFavorite,lat,lng,googleMapUrl
1,新北【享聚餐酒館 Savor Bistro】三峽美食推薦｜三峽餐酒館推薦｜新北餐酒館推薦｜北大校園美食推薦｜三峽聚餐推薦｜北大義大利麵推薦｜北大餐酒館推薦,國際一街5號2樓,大眾,$$,FALSE,24.94311,121.3745551,https://www.google.com/maps/place/?q=place_id:ChIJN497oQwbaDQRDcJBD8AdEWY
2,Anchor Restaurant 安可美式餐廳（最後點餐時間20:00）,學成路593號1樓,大眾,$$,FALSE,24.9461238,121.3809734,https://www.google.com/maps/place/?q=place_id:ChIJBeO7g1sdaDQR4yTvpSMCf9s
3,富士商號 fuji,中正路一段108巷7弄9號,大眾,$$,FALSE,24.9297338,121.3735112,https://www.google.com/maps/place/?q=place_id:ChIJWVb3EGwbaDQR58sLHObQrgc
4,燕子的窩,學成路226號一樓,大眾,$,FALSE,24.94135,121.3745142,https://www.google.com/maps/place/?q=place_id:ChIJIb08tnobaDQRgCAOgCBS7Js
5,男爵歐陸私廚餐酒館,大學路200號,飲料,$$,FALSE,24.9468952,121.3725553,https://www.google.com/maps/place/?q=place_id:ChIJja4zV54daDQRPZXfJ0bHe9o
6,初芯初蒔中式料理餐廳,大學路196號,大眾,$$$,FALSE,24.9468509,121.3726008,https://www.google.com/maps/place/?q=place_id:ChIJOX4KzwscaDQRCJyRiBQeSVw
7,BLUEHOUSE 北大 (假日僅提供現場候位),學林路114號1樓,大眾,$,FALSE,24.9493919,121.3797217,https://www.google.com/maps/place/?q=place_id:ChIJKU2O0FcdaDQRp87HRPSHyo4
8,元爵味 黃燜雞米飯 三峽店-三峽中式美食|特色美食|麻辣美食|外帶美食|必吃餐廳|在地推薦美食,國際一街8號,大眾,$$,FALSE,24.9432384,121.3744361,https://www.google.com/maps/place/?q=place_id:ChIJWeZLi64baDQRmjz-XFmePPM
9,甘樂食堂,清水街317號,大眾,$$,FALSE,24.9344359,121.3724608,https://www.google.com/maps/place/?q=place_id:ChIJkRRQFPIbaDQRu21BLzCOvI8
10,Luna餐廳,民生街121號2F,大眾,$$,FALSE,24.9350393,121.3734629,https://www.google.com/maps/place/?q=place_id:ChIJ-2VORfIbaDQRg9P0C43nurA
11,私嚐の吃飯-北大店(10/6公休.寵物友善.日式餐廳.樹林美食.三峽咖喱),學勤路322號社區後方徒步區1樓,大眾,$$,FALSE,24.9467347,121.3793361,https://www.google.com/maps/place/?q=place_id:ChIJUdoMzNwdaDQRvNWbYfdhZ0k
12,The BBQ House 三峽北大店-新北牛排館|對面有停車場|西餐廳推薦|restaurant|現切牛排|乾式熟成|餐酒館|約會餐廳|聚會餐廳|母親節|牛排|餐廳包場,大學路86-2號2樓,大眾,$,FALSE,24.9426221,121.3757044,https://www.google.com/maps/place/?q=place_id:ChIJBXdmF6obaDQRvPBQBE2kKKk
13,喜徠珍古井餐廳｜三峽老街美食｜家庭聚餐｜工商便當｜逛老街首選｜,中山路40號,大眾,$$,FALSE,24.9345298,121.3685876,https://www.google.com/maps/place/?q=place_id:ChIJ2e2j1PEbaDQRXjjYfTlo6lU
14,好命Homie｜日式洋食｜餐酒館｜樹林/三峽/北大特區餐酒館推薦|餐廳推薦|包廂餐廳|美食推薦|聚餐推薦|聚餐餐廳|慶生餐廳|家庭聚餐,學勤路521號,飲料,$,FALSE,24.9486272,121.3811546,https://www.google.com/maps/place/?q=place_id:ChIJHYPhZvwdaDQRjx259t7Kex0
15,韓舍小館（三峽）中式家常料理,大同路1-2號,大眾,$$,FALSE,24.9297863,121.3783266,https://www.google.com/maps/place/?q=place_id:ChIJhWoJ6JIbaDQRDsEm9Nfodng
16,松月餐館,中華路11巷5號1樓,大眾,$$,FALSE,24.9322399,121.3742145,https://www.google.com/maps/place/?q=place_id:ChIJcfrSwmAbaDQRW1UVmrhzsxM
17,暮漁町生魚片海鮮丼專賣店,大義路199-1號,大眾,$,FALSE,24.9451463,121.3775519,https://www.google.com/maps/place/?q=place_id:ChIJCc-bl2kdaDQRdX0fipH91OY
18,YCHY拾味(三峽義大利麵、三峽咖啡廳、三峽午餐、三峽晚餐、三峽下午茶、三峽人氣餐廳、三峽平價美食）,國際一街27-1號1樓,大眾,$,FALSE,24.9424002,121.3737362,https://www.google.com/maps/place/?q=place_id:ChIJHWlUdXwbaDQRYMe-TrcNiEg
19,陳記米苔目,和平街54號,大眾,$,FALSE,24.9376802,121.3703434,https://www.google.com/maps/place/?q=place_id:ChIJQePSafEbaDQRsIXKQjjPwDc
20,泰貳泰式風味料理（無提供訂位服務）固定公休星期日跟星期一,大觀路96之1號,大眾,$$,FALSE,24.946884,121.3737464,https://www.google.com/maps/place/?q=place_id:ChIJN7-UY-odaDQR--iBsFtTx4Q
21,漁先生,愛國路2-1號號,大眾,$$,FALSE,24.9339669,121.3739451,https://www.google.com/maps/place/?q=place_id:ChIJtaUKM-0baDQRMitJaYODVKc
22,Niel Brunch Cafe 尼爾早午餐咖啡,學勤路641號1樓,大眾,$,FALSE,24.9490899,121.3847248,https://www.google.com/maps/place/?q=place_id:ChIJZ1Ew6LodaDQR47KWb_bpseA
23,茶自點北大旗艦店,學成路758號1樓,大眾,$$,FALSE,24.9462952,121.3838324,https://www.google.com/maps/place/?q=place_id:ChIJAz9XMTAdaDQRbNwrzdYHEoQ
24,安安你好 Ann Hello,愛國路2-12號1樓,大眾,$$,FALSE,24.9338902,121.373577,https://www.google.com/maps/place/?q=place_id:ChIJofHiqTkbaDQRQdxVfV1xjAI
25,心湖會館,大學路151號,大眾,$,FALSE,24.9421737,121.3694645,https://www.google.com/maps/place/?q=place_id:ChIJZRtuDiIbaDQRaqq5AItHcvc
26,良晨吉食 /三峽早餐,復興路174巷4號,大眾,$,FALSE,24.938819,121.3707197,https://www.google.com/maps/place/?q=place_id:ChIJNScAgy4baDQREcDUPVogooY
27,阿爸的客家菜,中山路118號,大眾,$$,FALSE,24.9360656,121.3658343,https://www.google.com/maps/place/?q=place_id:ChIJ6xviC_AbaDQRKYlkjGLZyF0
28,蔚藍食府,三樹路302號,大眾,$$,FALSE,24.9437876,121.3809456,https://www.google.com/maps/place/?q=place_id:ChIJh6u-t3UcaDQR1vdshFzZ1HE
29,橋頭食堂,愛國路4號,大眾,$,FALSE,24.9338749,121.3739741,https://www.google.com/maps/place/?q=place_id:ChIJ988jYvIbaDQRzIOvI08SMm8
30,La Olive綠橄欖創意蔬食料理,國際二街35號1 樓,甜點/咖啡,$,FALSE,24.9429888,121.3723012,https://www.google.com/maps/place/?q=place_id:ChIJMahDSRQbaDQRyDeVXLZJE_4
31,東街日本料理-新北三峽店,國光街83號2樓,大眾,$$,FALSE,24.9385221,121.3737804,https://www.google.com/maps/place/?q=place_id:ChIJyVyn6NsbaDQRUgPDSQ35-dM
32,4U4U Gourmet,國際一街15號,大眾,$,FALSE,24.9426024,121.3741075,https://www.google.com/maps/place/?q=place_id:ChIJN2yMF7AbaDQRdaazg3Sh2tI
33,鼎上食府,復興路233號,大眾,$$,FALSE,24.9386773,121.368554,https://www.google.com/maps/place/?q=place_id:ChIJeR4NJ_EbaDQRc5k8ylB349Y
34,QQ-pasta義大利麵,大同路10號1樓,大眾,$,FALSE,24.9300281,121.3780951,https://www.google.com/maps/place/?q=place_id:ChIJVTKqxJIbaDQRKDeLW01FBm4
35,上水樸石,國際一街22號,大眾,$$,FALSE,24.942993,121.3739075,https://www.google.com/maps/place/?q=place_id:ChIJMx7lvvUbaDQRhKoVGyJg6A4
36,超有肉涮涮屋北大店PLUS,學勤路178號1樓,大眾,$$,FALSE,24.9465909,121.3759657,https://www.google.com/maps/place/?q=place_id:ChIJZUTPDAsdaDQRAKlVJhcuNLc
37,鄉村海鮮店,信義街21號F1攤位,大眾,$$,FALSE,24.9354443,121.3709585,https://www.google.com/maps/place/?q=place_id:ChIJW9sQq-0baDQRSG8hsXhvRXM
38,豐鮮巧味小館,光明路82號,大眾,$,FALSE,24.928882,121.3752898,https://www.google.com/maps/place/?q=place_id:ChIJo1RalewbaDQRCNft8vwCOLQ
39,同樂町 炭燒酒場-三峽特色居酒屋|必去居酒屋|推薦串燒|日本料理推薦|道地日式料理|必吃居酒屋|日式美食推薦,三樹路308號,飲料,$$,FALSE,24.9439622,121.3811966,https://www.google.com/maps/place/?q=place_id:ChIJ65LRyXUcaDQREHAWgQQP41w
