餐廳,地址,價格,google 評價,評論數量,標籤,位置
吃萬串燒專賣店,新北市三峽區復興路112號,$200-400,4.7,292,串燒烤肉店,後門/老街
不然去吃早午餐,新北市三峽區大德路190號,$1-200,4.8,80,早午餐,正門
官小二酸菜魚 北大店,新北市三峽區大德路206號,$200-400,4.9,1678,中國菜,正門
麒哥嘉義火雞肉飯,新北市三峽區大德路145號,$1-200,4.4,451,雞肉,正門
大仁路小吃麵攤丨70元牛肉麵,新北市三峽區大仁路,$1-200,4.3,327,中式麵食,後門/老街
雲南小院,新北市三峽區大德路479號,$1-200,3.8,25,中國菜,正門
私嚐の吃飯-北大店,新北市三峽區國際一街3號2樓,$200-400,4.9,1762,日式咖哩,側門
くら寿司 藏壽司 三峽學成店,新北市三峽區學成路398號4樓,$400-600,4.1,1999,壽司,正門
牛好吃-三峽旗艦店,新北市三峽區大學路162號,$200-400,3.8,940,牛扒,正門
鳥鳴子雞白湯ラーメン,新北市三峽區國際一街33號1樓,$200-400,4.4,280,拉麵,側門
紅燈籠熱炒,新北市三峽區復興路23巷,$1-200,5.0,2,小吃攤,後門/老街
麵G,新北市三峽區大德路198號,$1-200,4.8,35,餐廳,正門
老私房牛肉麵,新北市三峽區國際一街66號,$200-400,4.7,1265,中式麵食,側門
老街坊麵食館,新北市三峽區大德路168號,$1-200,3.8,84,餐廳,正門
周哥炒翻天,新北市三峽區國際二街29號,$1-200,4.4,83,台灣菜,側門
一燔歐姆蛋咖哩、炸雞-北大直營店,新北市三峽區國際一街22號,$1-200,4.5,406,餐廳,側門
麵匡匡拉麵食堂 三峽和平店,新北市三峽區和平街38號,$200-400,4.6,229,拉麵,後門/老街
一品羊羊肉料理-三峽店,新北市三峽區大觀路12-1號,$1-200,4.1,306,熟食店,後門/老街
鍋媽精緻小火鍋（北大店）,新北市三峽區大德路477號,$1-200,4.4,1298,火鍋,正門
